FMTNAME,START,LABEL
DRDIFDCD,11000000,"MILK, HUMAN"
DRDIFDCD,11100000,"MILK, NFS"
DRDIFDCD,11111000,"MILK, COW'S, FLUID, WHOLE"
DRDIFDCD,11111100,"MILK, COW'S, FLUID, WHOLE, LOW SODIUM"
DRDIFDCD,11112000,"MILK, COW'S, FLUID, NOT WHOLE, NS AS TO % FAT"
DRDIFDCD,11112110,"MILK, COW'S, FLUID, 2% FAT"
DRDIFDCD,11112130,"MILK, COW'S, FLUID, ACIDOPHILUS, 2% FAT"
DRDIFDCD,11112210,"MILK, COW'S, FLUID, 1% FAT"
DRDIFDCD,11113000,"MILK, COW'S, FLUID, SKIM OR NONFAT"
DRDIFDCD,11114300,"MILK, LOW LACTOSE, 1% FAT"
DRDIFDCD,11114320,"MILK, LOW LACTOSE, NONFAT"
DRDIFDCD,11114330,"MILK, COW'S FL LACTOSE REDUCED 2% FAT (LACTAID)"
DRDIFDCD,11115000,"BUTTERMILK, FLUID (INCLUDE KEFIR MILK)"
DRDIFDCD,11115200,"BUTTERMILK, FLUID, 2% FAT"
DRDIFDCD,11116000,"MILK, GOAT'S, FLUID, WHOLE"
DRDIFDCD,11120000,"MILK, DRY, RECONSTITUTED, NFS"
DRDIFDCD,11121100,"MILK, DRY, RECONSTITUTED, WHOLE"
DRDIFDCD,11121210,"MILK, DRY, RECONSTITUTED, LOWFAT"
DRDIFDCD,11121300,"MILK, DRY, RECONSTITUTED, NONFAT"
DRDIFDCD,11210000,"MILK, EVAPORATED, NS AS TO FAT CONTENT & DILUTION"
DRDIFDCD,11210050,"MILK, EVAPORATED, NS FAT & DILUTION, IN COFFEE/TEA"
DRDIFDCD,11210100,"MILK, EVAPORATED, NS AS TO FAT, UNDILUTED"
DRDIFDCD,11211000,"MILK, EVAPORATED, WHOLE, NS AS TO DILUTION"
DRDIFDCD,11211050,"MILK, EVAPORATED, WHOLE, IN COFFEE/TEA"
DRDIFDCD,11211100,"MILK, EVAPORATED, WHOLE, UNDILUTED"
DRDIFDCD,11211200,"MILK, EVAPORATED, WHOLE, DILUTED"
DRDIFDCD,11212050,"MILK, EVAPORATED, SKIM, IN COFFEE/TEA"
DRDIFDCD,11220000,"MILK, CONDENSED, SWEETENED, NS AS TO DILUTION"
DRDIFDCD,11220200,"MILK, CONDENSED, SWEETENED, DILUTED"
DRDIFDCD,11320000,"MILK, SOY, READY-TO-DRINK, NOT BABY"
DRDIFDCD,11330000,"MILK, SOY, DRY, RECONSTITUTED, NOT BABY"
DRDIFDCD,11340000,"MILK,IMITATION,FLUID,NONSOY,SWEETENED,NOT CHOCOLATE"
DRDIFDCD,11410000,"YOGURT, NS AS TO TYPE OF MILK/FLAVOR"
DRDIFDCD,11411010,"YOGURT, PLAIN, NS AS TO TYPE OF MILK"
DRDIFDCD,11411100,"YOGURT, PLAIN, WHOLE MILK"
DRDIFDCD,11411200,"YOGURT, PLAIN, LOWFAT MILK"
DRDIFDCD,11411300,"YOGURT, PLAIN, NONFAT MILK"
DRDIFDCD,11420000,"YOGURT, VANILLA, LEMON, COFFEE, NS AS TO MILK TYPE"
DRDIFDCD,11421000,"YOGURT, VANILLA, LEMON, COFFEE, WHOLE MILK"
DRDIFDCD,11422000,"YOGURT, VANILLA, LEMON, COFFEE, LOWFAT MILK"
DRDIFDCD,11423000,"YOGURT, VANILLA, LEMON, COFFEE, NONFAT MILK"
DRDIFDCD,11424000,"YOGURT, VANILLA, LEMON, COFFEE, NONFAT MILK, LOW CAL SWEET"
DRDIFDCD,11427000,"YOGURT, CHOCOLATE, NONFAT MILK"
DRDIFDCD,11430000,"YOGURT, FRUIT VARIETY, NS AS TO MILK TYPE"
DRDIFDCD,11431000,"YOGURT, FRUIT VARIETY, WHOLE MILK"
DRDIFDCD,11432000,"YOGURT, FRUIT VARIETY, LOWFAT MILK"
DRDIFDCD,11433000,"YOGURT, FRUIT VARIETY, NONFAT MILK"
DRDIFDCD,11433500,"YOGURT, FRUITED, NONFAT MILK, LOW CAL SWEETENER"
DRDIFDCD,11459990,"YOGURT, FROZEN, NS AS TO FLAVOR, NS TO TYPE OF MILK"
DRDIFDCD,11460000,"YOGURT, FROZEN, NOT CHOCOLATE, TYPE OF MILK NS"
DRDIFDCD,11460100,"YOGURT, FROZEN, CHOCOLATE, TYPE OF MILK NS"
DRDIFDCD,11460150,"YOGURT, FROZEN, NS AS TO FLAVOR, LOWFAT MILK"
DRDIFDCD,11460160,"YOGURT, FROZEN, CHOCOLATE, LOWFAT MILK"
DRDIFDCD,11460170,"YOGURT, FROZEN, NOT CHOCOLATE, LOWFAT MILK"
DRDIFDCD,11460300,"YOGURT, FROZEN, NOT CHOCOLATE, NONFAT MILK"
DRDIFDCD,11460400,"YOGURT,FRZ,CHOCOLATE,NONFAT MILK,W/ LOW-CAL SWEET"
DRDIFDCD,11460410,"YOGURT,FRZ,NOT CHOC,NONFAT MILK,W/ LOW-CAL SWEET"
DRDIFDCD,11460440,"YOGURT, FROZEN, NOT CHOCOLATE, WHOLE MILK"
DRDIFDCD,11461250,"YOGURT, FROZEN, CONE, CHOCOLATE"
DRDIFDCD,11461260,"YOGURT, FROZEN, CONE, NOT CHOCOLATE"
DRDIFDCD,11461270,"YOGURT, FROZEN, CONE, NOT CHOCOLATE, LOWFAT MILK"
DRDIFDCD,11461280,"YOGURT, FROZ, CONE, CHOCOLATE, LOWFAT MILK"
DRDIFDCD,11511000,"MILK, CHOCOLATE, NFS"
